Ticker,month,first_close,last_close,monthly_return
NESTLEIND,2023-10,2231.52,2423.48,0.086022084
COALINDIA,2023-10,291.9,314.25,0.076567318
BAJAJ-AUTO,2023-10,5016.45,5314.05,0.059324821
SBILIFE,2023-10,1292.45,1367.85,0.058338814
TRENT,2023-10,2059.1,2154.7,0.046428051
TRENT,2023-11,2197.65,2787,0.268172821
HEROMOTOCO,2023-11,3092.45,3819.05,0.234959336
BPCL,2023-11,178.45,217.85,0.220790137
EICHERMOT,2023-11,3282.25,3896.9,0.187264834
APOLLOHOSP,2023-11,4796.55,5528.95,0.152693081
BEL,2023-12,147.45,184.2,0.24923703
ADANIPORTS,2023-12,827.8,1024.35,0.237436579
ADANIENT,2023-12,2362.7,2848.95,0.205802683
HINDALCO,2023-12,517.2,614.85,0.188805104
ULTRACEMCO,2023-12,9033.85,10503,0.16262723
ONGC,2024-01,205.35,252.25,0.228390553
SHRIRAMFIN,2024-01,2048.85,2466.8,0.203992484
BHARTIARTL,2024-01,1013.05,1170.7,0.15561917
ADANIPORTS,2024-01,1047.85,1207.65,0.152502744
BAJAJ-AUTO,2024-01,6701.1,7667.55,0.14422259
TRENT,2024-02,3102.8,3881.8,0.251063555
BPCL,2024-02,254.23,301.93,0.187625379
M&M,2024-02,1651.15,1932.4,0.170335827
SBIN,2024-02,647.65,748.1,0.155099205
SUNPHARMA,2024-02,1407.95,1577.95,0.120742924
BAJAJ-AUTO,2024-03,8040.05,9148.15,0.137822526
BAJFINANCE,2024-03,6571.45,7245.25,0.102534448
BHARTIARTL,2024-03,1128.7,1228.6,0.088508904
MARUTI,2024-03,11620.95,12600.35,0.084278824
HINDALCO,2024-03,519.1,560.25,0.079271817
EICHERMOT,2024-04,3946.65,4597.4,0.164886676
TRENT,2024-04,3886.8,4409.9,0.134583719
HINDALCO,2024-04,568.6,644.4,0.133309884
M&M,2024-04,1915.95,2156.35,0.125473003
BEL,2024-04,211.1,233.75,0.107295121
BEL,2024-05,234.75,295.95,0.260702875
M&M,2024-05,2185.15,2506.25,0.146946434
HEROMOTOCO,2024-05,4561.5,5119.6,0.122350104
ADANIENT,2024-05,3039.6,3411.35,0.122302277
BRITANNIA,2024-05,4759.65,5179.8,0.088273297
TRENT,2024-06,4662.2,5479.85,0.175378577
SHRIRAMFIN,2024-06,2509.15,2911.5,0.160353108
WIPRO,2024-06,444.1,514.85,0.159310966
TECHM,2024-06,1245.35,1430.35,0.148552616
GRASIM,2024-06,2368.8,2670.45,0.127342958
ONGC,2024-07,272.95,334.2,0.224400073
HDFCLIFE,2024-07,600.75,715.5,0.191011236
INFY,2024-07,1590.8,1868.25,0.174409102
SBILIFE,2024-07,1501.85,1753.65,0.167659886
ITC,2024-07,429.05,495.35,0.154527444
TRENT,2024-08,5770.8,7158.75,0.240512581
BAJAJ-AUTO,2024-08,9730.5,10891.55,0.119320693
BAJAJFINSV,2024-08,1634.8,1783.05,0.090683876
SHRIRAMFIN,2024-08,2989.25,3204.5,0.072008029
CIPLA,2024-08,1546.2,1654.9,0.070301384
M&M,2024-09,2777,3094.9,0.114476053
BAJAJ-AUTO,2024-09,11126.1,12345.95,0.109638598
SHRIRAMFIN,2024-09,3225.25,3576.95,0.10904581
HINDALCO,2024-09,683.9,756.2,0.10571721
TATASTEEL,2024-09,152.88,168.55,0.102498692
SBIN,2024-10,796.95,820.2,0.029173725
HDFCLIFE,2024-10,710.2,720.15,0.014010138
ICICIBANK,2024-10,1274.4,1292.25,0.014006591
WIPRO,2024-10,546.75,551.8,0.009236397
HDFCBANK,2024-10,1726.2,1735.7,0.005503418
TECHM,2024-11,1603.65,1747.45,0.089670439
INFY,2024-11,1760.85,1902.25,0.080302127
HCLTECH,2024-11,1757.4,1898.4,0.080232161
M&M,2024-11,2817.65,3012.95,0.06931308
TCS,2024-11,3984.2,4244.6,0.065358165
